target,related,unrelated,relation,context,constraint,entropy
ability,capability,fuel,synonym,[CLS] harry really showed improvement in his [MASK] compared to last year . [SEP],0.05921123921871185,8.783102989196777
ability,means,fishing,unclassified,[CLS] harry really showed improvement in his [MASK] compared to last year . [SEP],0.05921123921871185,8.783102989196777
ability,capability,fuel,synonym,[CLS] all the women cleaned to their best [MASK] that week . [SEP],0.09749551862478256,7.944213390350342
ability,means,fishing,unclassified,[CLS] all the women cleaned to their best [MASK] that week . [SEP],0.09749551862478256,7.944213390350342
ability,capability,fuel,synonym,[CLS] grief for a patient who died made jo doubt her [MASK] as a counselor . [SEP],0.14342376589775085,5.945093631744385
ability,means,fishing,unclassified,[CLS] grief for a patient who died made jo doubt her [MASK] as a counselor . [SEP],0.14342376589775085,5.945093631744385
ability,capability,fuel,synonym,"[CLS] and when got home , he tested its waterproof [MASK] . [SEP]",0.3177570402622223,5.506129264831543
ability,means,fishing,unclassified,"[CLS] and when got home , he tested its waterproof [MASK] . [SEP]",0.3177570402622223,5.506129264831543
ability,capability,fuel,synonym,[CLS] and she became more confident in her drawing [MASK] . [SEP],0.4534059762954712,3.8838164806365967
ability,means,fishing,unclassified,[CLS] and she became more confident in her drawing [MASK] . [SEP],0.4534059762954712,3.8838164806365967
ability,capability,fuel,synonym,[CLS] mark has lost a significant amount of hearing [MASK] . [SEP],0.631738543510437,3.1611084938049316
ability,means,fishing,unclassified,[CLS] mark has lost a significant amount of hearing [MASK] . [SEP],0.631738543510437,3.1611084938049316
ability,capability,fuel,synonym,[CLS] alec was happy to see his daughter developing her verbal [MASK] . [SEP],0.4967738687992096,5.1634111404418945
ability,means,fishing,unclassified,[CLS] alec was happy to see his daughter developing her verbal [MASK] . [SEP],0.4967738687992096,5.1634111404418945
ability,capability,fuel,synonym,[CLS] tisha grateful for her tap dancing [MASK] helping her travel . [SEP],0.5686725378036499,3.149141311645508
ability,means,fishing,unclassified,[CLS] tisha grateful for her tap dancing [MASK] helping her travel . [SEP],0.5686725378036499,3.149141311645508
ability,capability,fuel,synonym,[CLS] his best trick was his [MASK] to stand on his hands . [SEP],0.8730224370956421,1.1463863849639893
ability,means,fishing,unclassified,[CLS] his best trick was his [MASK] to stand on his hands . [SEP],0.8730224370956421,1.1463863849639893
ability,capability,fuel,synonym,[CLS] she answered the question to the best of her [MASK] . [SEP],0.9630126953125,0.3424086570739746
ability,means,fishing,unclassified,[CLS] she answered the question to the best of her [MASK] . [SEP],0.9630126953125,0.3424086570739746
account,checking,now,forward phrasal associate,[CLS] but his [MASK] was banned before he could withdraw his earnings . [SEP],0.05181252211332321,8.632963180541992
account,joint,scalpel,forward phrasal associate,[CLS] but his [MASK] was banned before he could withdraw his earnings . [SEP],0.05181252211332321,8.632963180541992
account,checking,now,forward phrasal associate,[CLS] his friends told him someone else was using his [MASK] . [SEP],0.16243556141853333,7.340282440185547
account,joint,scalpel,forward phrasal associate,[CLS] his friends told him someone else was using his [MASK] . [SEP],0.16243556141853333,7.340282440185547
account,checking,now,forward phrasal associate,[CLS] i put fifty dollars in an otc [MASK] . [SEP],0.29221129417419434,5.87064266204834
account,joint,scalpel,forward phrasal associate,[CLS] i put fifty dollars in an otc [MASK] . [SEP],0.29221129417419434,5.87064266204834
account,checking,now,forward phrasal associate,"[CLS] however , he looked into his [MASK] and there was no money . [SEP]",0.27019786834716797,5.35186767578125
account,joint,scalpel,forward phrasal associate,"[CLS] however , he looked into his [MASK] and there was no money . [SEP]",0.27019786834716797,5.35186767578125
account,checking,now,forward phrasal associate,[CLS] ana only had a dollar left in her [MASK] when she was done . [SEP],0.5185859799385071,2.741455078125
account,joint,scalpel,forward phrasal associate,[CLS] ana only had a dollar left in her [MASK] when she was done . [SEP],0.5185859799385071,2.741455078125
account,checking,now,forward phrasal associate,[CLS] i gave the teller a handful of money to deposit in my [MASK] . [SEP],0.4189744293689728,3.3026371002197266
account,joint,scalpel,forward phrasal associate,[CLS] i gave the teller a handful of money to deposit in my [MASK] . [SEP],0.4189744293689728,3.3026371002197266
account,checking,now,forward phrasal associate,[CLS] sam checked his bank [MASK] . [SEP],0.7913957834243774,1.6100208759307861
account,joint,scalpel,forward phrasal associate,[CLS] sam checked his bank [MASK] . [SEP],0.7913957834243774,1.6100208759307861
account,checking,now,forward phrasal associate,[CLS] clara woke up and checked her bank [MASK] . [SEP],0.7462158203125,1.2759417295455933
account,joint,scalpel,forward phrasal associate,[CLS] clara woke up and checked her bank [MASK] . [SEP],0.7462158203125,1.2759417295455933
