category,constraint,target,related,unrelated,isolated_context,related_context,unrelated_context,isolated_probability,isolated_rank,related_probability,related_rank,unrelated_probability,unrelated_rank
open_class,high,abandon,disown,provision,"[CLS] thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] disown. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] provision. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]",0.2770787179470062,1,0.3453325629234314,1,0.31560274958610535,1
open_class,high,abandon,maroon,cure,"[CLS] thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] maroon. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] cure. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]",0.2770787179470062,1,0.2302001416683197,1,0.2784116268157959,1
open_class,low,abandon,disown,provision,"[CLS] he decided to eat , and [MASK] his stuff . [SEP]","[CLS] disown. he decided to eat , and [MASK] his stuff . [SEP]","[CLS] provision. he decided to eat , and [MASK] his stuff . [SEP]",8.532001811545342e-05,472,6.950295937713236e-05,485,6.024894173606299e-05,544
open_class,low,abandon,maroon,cure,"[CLS] he decided to eat , and [MASK] his stuff . [SEP]","[CLS] maroon. he decided to eat , and [MASK] his stuff . [SEP]","[CLS] cure. he decided to eat , and [MASK] his stuff . [SEP]",8.532001811545342e-05,472,7.058957999106497e-05,508,6.761672557331622e-05,477
open_class,high,ability,capability,fuel,[CLS] it won for its [MASK] to solve problems . [SEP],[CLS] capability. it won for its [MASK] to solve problems . [SEP],[CLS] fuel. it won for its [MASK] to solve problems . [SEP],0.8868726491928101,1,0.9251282811164856,1,0.9239961504936218,1
open_class,high,ability,means,fishing,[CLS] it won for its [MASK] to solve problems . [SEP],[CLS] means. it won for its [MASK] to solve problems . [SEP],[CLS] fishing. it won for its [MASK] to solve problems . [SEP],0.8868726491928101,1,0.8789348602294922,1,0.8896985054016113,1
open_class,low,ability,capability,fuel,[CLS] he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] capability. he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] fuel. he wanted the [MASK] to get to the news before anyone else . [SEP],0.000133829380501993,668,0.00023796097957529128,403,0.00030306089320220053,361
open_class,low,ability,means,fishing,[CLS] he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] means. he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] fishing. he wanted the [MASK] to get to the news before anyone else . [SEP],0.000133829380501993,668,0.00023475296620745212,438,0.0002672444679774344,378
open_class,high,abnormal,normal,egypt,[CLS] test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] normal. test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] egypt. test reveals that cara has an [MASK] heart rhythm . [SEP],0.21009407937526703,2,0.24544453620910645,2,0.2303808629512787,2
open_class,high,abnormal,irregular,socket,[CLS] test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] irregular. test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] socket. test reveals that cara has an [MASK] heart rhythm . [SEP],0.21009407937526703,2,0.21294313669204712,2,0.20915046334266663,2
open_class,low,abnormal,normal,egypt,[CLS] she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] normal. she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] egypt. she did a presentation focusing on the [MASK] thinness of models . [SEP],0.0006709224544465542,161,0.0011566811008378863,107,0.000720526441000402,158
open_class,low,abnormal,irregular,socket,[CLS] she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] irregular. she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] socket. she did a presentation focusing on the [MASK] thinness of models . [SEP],0.0006709224544465542,161,0.0006832501967437565,166,0.0005219446029514074,205
open_class,high,abuse,use,disgusting,[CLS] she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] use. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] disgusting. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],0.7737047076225281,1,0.7393007278442383,1,0.7475553750991821,1
open_class,high,abuse,torture,heroin,[CLS] she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] torture. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] heroin. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],0.7737047076225281,1,0.7868839502334595,1,0.8916827440261841,1
open_class,low,abuse,use,disgusting,[CLS] he faced endless [MASK] from his friends as a result . [SEP],[CLS] use. he faced endless [MASK] from his friends as a result . [SEP],[CLS] disgusting. he faced endless [MASK] from his friends as a result . [SEP],0.06618525832891464,2,0.04576665163040161,7,0.06781396269798279,2
open_class,low,abuse,torture,heroin,[CLS] he faced endless [MASK] from his friends as a result . [SEP],[CLS] torture. he faced endless [MASK] from his friends as a result . [SEP],[CLS] heroin. he faced endless [MASK] from his friends as a result . [SEP],0.06618525832891464,2,0.169364795088768,1,0.08689025044441223,2
open_class,high,accept,reject,jock,"[CLS] i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] reject. i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] jock. i apologized , but he said he did n't [MASK] my apology . [SEP]",0.31258442997932434,1,0.37004542350769043,1,0.30562254786491394,1
open_class,high,accept,forgive,famous,"[CLS] i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] forgive. i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] famous. i apologized , but he said he did n't [MASK] my apology . [SEP]",0.31258442997932434,1,0.3274385631084442,1,0.3478420078754425,1
open_class,low,accept,reject,jock,[CLS] chad attempted to [MASK] a new task . [SEP],[CLS] reject. chad attempted to [MASK] a new task . [SEP],[CLS] jock. chad attempted to [MASK] a new task . [SEP],0.003278793301433325,31,0.0027740267105400562,37,0.003051130101084709,31
open_class,low,accept,forgive,famous,[CLS] chad attempted to [MASK] a new task . [SEP],[CLS] forgive. chad attempted to [MASK] a new task . [SEP],[CLS] famous. chad attempted to [MASK] a new task . [SEP],0.003278793301433325,31,0.0031290417537093163,31,0.0032898096833378077,34
open_class_problems,high,account,checking,now,[CLS] tom needed to get a bank [MASK] . [SEP],[CLS] checking. tom needed to get a bank [MASK] . [SEP],[CLS] now. tom needed to get a bank [MASK] . [SEP],0.5040493011474609,1,0.39743906259536743,1,0.44896242022514343,1
open_class_problems,high,account,joint,scalpel,[CLS] tom needed to get a bank [MASK] . [SEP],[CLS] joint. tom needed to get a bank [MASK] . [SEP],[CLS] scalpel. tom needed to get a bank [MASK] . [SEP],0.5040493011474609,1,0.4196796119213104,1,0.26030421257019043,1
open_class_problems,low,account,checking,now,[CLS] tom was looking at his bank [MASK] . [SEP],[CLS] checking. tom was looking at his bank [MASK] . [SEP],[CLS] now. tom was looking at his bank [MASK] . [SEP],0.16614103317260742,1,0.1493348330259323,2,0.14655578136444092,2
open_class_problems,low,account,joint,scalpel,[CLS] tom was looking at his bank [MASK] . [SEP],[CLS] joint. tom was looking at his bank [MASK] . [SEP],[CLS] scalpel. tom was looking at his bank [MASK] . [SEP],0.16614103317260742,1,0.17838135361671448,2,0.05430677533149719,5
open_class,low,ache,stomach,reflection,[CLS] he threw up constantly and had a stomach [MASK] . [SEP],[CLS] stomach. he threw up constantly and had a stomach [MASK] . [SEP],[CLS] reflection. he threw up constantly and had a stomach [MASK] . [SEP],0.061345767229795456,5,0.030572878196835518,7,0.06112224608659744,4
open_class,low,ache,head,goo,[CLS] he threw up constantly and had a stomach [MASK] . [SEP],[CLS] head. he threw up constantly and had a stomach [MASK] . [SEP],[CLS] goo. he threw up constantly and had a stomach [MASK] . [SEP],0.061345767229795456,5,0.06068691983819008,4,0.04565826430916786,4
open_class,high,ache,stomach,reflection,[CLS] one day he got a tummy [MASK] from the grease . [SEP],[CLS] stomach. one day he got a tummy [MASK] from the grease . [SEP],[CLS] reflection. one day he got a tummy [MASK] from the grease . [SEP],0.23435313999652863,1,0.23982670903205872,1,0.2506560981273651,1
