context,constraint,entropy
[CLS] harry really showed improvement in his [MASK] compared to last year . [SEP],0.094573753,8.783102989196777
[CLS] all the women cleaned to their best [MASK] that week . [SEP],0.1075541824,7.944213390350342
[CLS] grief for a patient who died made jo doubt her [MASK] as a counselor . [SEP],0.2773305327,5.945093631744385
"[CLS] and when got home , he tested its waterproof [MASK] . [SEP]",0.3446687907,5.506129264831543
[CLS] and she became more confident in her drawing [MASK] . [SEP],0.4319785833,3.8838164806365967
[CLS] mark has lost a significant amount of hearing [MASK] . [SEP],0.5369867831,3.1611084938049316
[CLS] alec was happy to see his daughter developing her verbal [MASK] . [SEP],0.6960579902,5.1634111404418945
[CLS] tisha grateful for her tap dancing [MASK] helping her travel . [SEP],0.7055445015,3.149141311645508
[CLS] his best trick was his [MASK] to stand on his hands . [SEP],0.8965046704,1.1463863849639893
[CLS] she answered the question to the best of her [MASK] . [SEP],0.9068903923,0.3424086570739746
[CLS] but his [MASK] was banned before he could withdraw his earnings . [SEP],0.0577259529,8.632963180541992
[CLS] his friends told him someone else was using his [MASK] . [SEP],0.1729286015,7.340282440185547
[CLS] i put fifty dollars in an otc [MASK] . [SEP],0.2673867419,5.87064266204834
"[CLS] however , he looked into his [MASK] and there was no money . [SEP]",0.3112757951,5.35186767578125
[CLS] ana only had a dollar left in her [MASK] when she was done . [SEP],0.4478029907,2.741455078125
[CLS] i gave the teller a handful of money to deposit in my [MASK] . [SEP],0.501997754,3.3026371002197266
[CLS] sam checked his bank [MASK] . [SEP],0.6663128,1.6100208759307861
[CLS] clara woke up and checked her bank [MASK] . [SEP],0.7121539,1.2759417295455933
"[CLS] somehow , thousands of dollars appeared in his bank [MASK] . [SEP]",0.8295559287,0.8634417057037354
[CLS] july started a savings [MASK] when she turned eight . [SEP],0.9038526416,0.23822736740112305
[CLS] now he has an indian tummy - [MASK] . [SEP],0.0627956558,8.579258918762207
[CLS] then they had a stomach [MASK] . [SEP],0.1687292233,6.564095497131348
[CLS] sammy had a terrible stomach [MASK] one morning . [SEP],0.2095260695,6.3221540451049805
"[CLS] a couple of days after that , i got a severe stomach [MASK] . [SEP]",0.3411226422,4.212564468383789
[CLS] she could n't go to a doctor for a tummy [MASK] from stealing cake . [SEP],0.4449496418,5.883211612701416
[CLS] eating so much pie gave me such a belly [MASK] ! [SEP],0.5596891791,3.464815616607666
"[CLS] kori ate every single one and despite her stomach [MASK] , she was happy . [SEP]",0.6201563478,4.085418224334717
[CLS] unfortunately her stomach began to [MASK] from the food . [SEP],0.7237782776,2.2437033653259277
[CLS] kia 's [MASK] was caused by a bone cancer called osteosarcoma ! [SEP],0.8648940921,2.0089662075042725
[CLS] she started to notice a numb [MASK] in her tooth . [SEP],0.9115159512,0.8397915363311768
[CLS] i caught her in the [MASK] . [SEP],0.098396048,7.16715145111084
[CLS] but abby had the [MASK] coming up and she was very nervous . [SEP],0.1123454869,7.653074264526367
[CLS] her [MASK] was to sing and play the piano . [SEP],0.2496251166,6.148071765899658
[CLS] i was afraid of how she would [MASK] around all the other dogs there . [SEP],0.3732375652,3.787997245788574
[CLS] rick and his friends took third place for their [MASK] . [SEP],0.4844649881,5.045235633850098
[CLS] then the opening [MASK] played . [SEP],0.5053228885,2.231379985809326
[CLS] she felt so stilted that she needed to [MASK] out . [SEP],0.6555078626,3.3605294227600098
"[CLS] mom tried to [MASK] upset , but she was laughing on the inside . [SEP]",0.7618630826,1.2026867866516113
[CLS] recently his neighbor tried to [MASK] afraid of charles . [SEP],0.8575544953,1.134007215499878
[CLS] jeff had a solo musical [MASK] in his hometown . [SEP],0.9548482895,0.5246754884719849
"[CLS] there , she gaped at all the lights and [MASK] . [SEP]",0.0885209069,8.106630325317383
"[CLS] he stepped on ed 's favorite [MASK] toy , breaking it . [SEP]",0.1810200736,7.240471839904785
[CLS] he interrupted game [MASK] with a jaunt that lasted about a minute . [SEP],0.2179194987,4.982428550720215
[CLS] gina was excited to be in on the [MASK] . [SEP],0.3264297396,6.607954025268555
"[CLS] because of quick [MASK] , everyone survived . [SEP]",0.4979290254,7.569073677062988
"[CLS] afterwards , he realized that [MASK] was ill - advised . [SEP]",0.5693458617,2.8181638717651367
[CLS] he was really bummed but decided to take [MASK] . [SEP],0.6648682058,3.047938346862793
[CLS] my friends and i tried to make an [MASK] movie and i was the stuntman . [SEP],0.7251900733,3.1295125484466553
[CLS] he bought a batman [MASK] figure . [SEP],0.8535751104,2.97752046585083
"[CLS] thinking about the best course of [MASK] , she made a call . [SEP]",0.9973487556,0.06791873276233673
[CLS] robin was a very famous [MASK] . [SEP],0.0910493992,8.482669830322266
[CLS] morgan had always wanted to be an [MASK] . [SEP],0.1573900208,5.457357406616211
[CLS] ryan is a tv [MASK] . [SEP],0.2260732949,4.105953216552734
"[CLS] instead of spouting equations , he 'd imitate a famous hollywood [MASK] . [SEP]",0.391096279,3.7644729614257812
[CLS] lucy dreams of being an [MASK] . [SEP],0.4668068588,4.568169593811035
[CLS] the lead [MASK] in our school play was afraid of rabbits . [SEP],0.583938539,2.3449935913085938
[CLS] paul is an [MASK] . [SEP],0.6123145521,3.0026493072509766
[CLS] aaron was an [MASK] in a play . [SEP],0.7094044685,1.8377978801727295
"[CLS] that led to an acting career , and now he is the best [MASK] ever . [SEP]",0.82618016,2.4308557510375977
