category,constraint,target,related,unrelated,isolated_context,related_context,unrelated_context,isolated_probability,isolated_rank,related_probability,related_rank,unrelated_probability,unrelated_rank
open_class,high,abandon,disown,provision,"[CLS] thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] the next word is disown. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] the next word is provision. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]",0.3627057671546936,1,0.46914157271385193,1,0.3501793146133423,1
open_class,high,abandon,maroon,cure,"[CLS] thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] the next word is maroon. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] the next word is cure. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]",0.3627057671546936,1,0.29651346802711487,1,0.305529922246933,1
open_class,low,abandon,disown,provision,"[CLS] he decided to eat , and [MASK] his stuff . [SEP]","[CLS] the next word is disown. he decided to eat , and [MASK] his stuff . [SEP]","[CLS] the next word is provision. he decided to eat , and [MASK] his stuff . [SEP]",3.914893022738397e-05,461,0.00011692829139064997,223,8.748917025513947e-05,353
open_class,low,abandon,maroon,cure,"[CLS] he decided to eat , and [MASK] his stuff . [SEP]","[CLS] the next word is maroon. he decided to eat , and [MASK] his stuff . [SEP]","[CLS] the next word is cure. he decided to eat , and [MASK] his stuff . [SEP]",3.914893022738397e-05,461,8.916937804315239e-05,320,0.00011606632324401289,329
open_class,high,ability,capability,fuel,[CLS] it won for its [MASK] to solve problems . [SEP],[CLS] the next word is capability. it won for its [MASK] to solve problems . [SEP],[CLS] the next word is fuel. it won for its [MASK] to solve problems . [SEP],0.9660305976867676,1,0.9686800837516785,1,0.9623093008995056,1
open_class,high,ability,means,fishing,[CLS] it won for its [MASK] to solve problems . [SEP],[CLS] the next word is means. it won for its [MASK] to solve problems . [SEP],[CLS] the next word is fishing. it won for its [MASK] to solve problems . [SEP],0.9660305976867676,1,0.9369518756866455,1,0.9784727096557617,1
open_class,low,ability,capability,fuel,[CLS] he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] the next word is capability. he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] the next word is fuel. he wanted the [MASK] to get to the news before anyone else . [SEP],5.402659735409543e-05,802,5.33853963133879e-05,845,4.2368319554952905e-05,983
open_class,low,ability,means,fishing,[CLS] he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] the next word is means. he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] the next word is fishing. he wanted the [MASK] to get to the news before anyone else . [SEP],5.402659735409543e-05,802,6.451362423831597e-05,728,4.701102807302959e-05,918
open_class,high,abnormal,normal,egypt,[CLS] test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] the next word is normal. test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] the next word is egypt. test reveals that cara has an [MASK] heart rhythm . [SEP],0.3753819167613983,1,0.5495900511741638,1,0.45368659496307373,1
open_class,high,abnormal,irregular,socket,[CLS] test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] the next word is irregular. test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] the next word is socket. test reveals that cara has an [MASK] heart rhythm . [SEP],0.3753819167613983,1,0.1548842340707779,2,0.32387539744377136,2
