target,related,unrelated,relation,context
ability,capability,fuel,synonym,[CLS] harry really showed improvement in his [MASK] compared to last year . [SEP]
ability,means,fishing,unclassified,[CLS] harry really showed improvement in his [MASK] compared to last year . [SEP]
ability,capability,fuel,synonym,[CLS] all the women cleaned to their best [MASK] that week . [SEP]
ability,means,fishing,unclassified,[CLS] all the women cleaned to their best [MASK] that week . [SEP]
ability,capability,fuel,synonym,[CLS] grief for a patient who died made jo doubt her [MASK] as a counselor . [SEP]
ability,means,fishing,unclassified,[CLS] grief for a patient who died made jo doubt her [MASK] as a counselor . [SEP]
ability,capability,fuel,synonym,"[CLS] and when got home , he tested its waterproof [MASK] . [SEP]"
ability,means,fishing,unclassified,"[CLS] and when got home , he tested its waterproof [MASK] . [SEP]"
ability,capability,fuel,synonym,[CLS] and she became more confident in her drawing [MASK] . [SEP]
ability,means,fishing,unclassified,[CLS] and she became more confident in her drawing [MASK] . [SEP]
ability,capability,fuel,synonym,[CLS] mark has lost a significant amount of hearing [MASK] . [SEP]
ability,means,fishing,unclassified,[CLS] mark has lost a significant amount of hearing [MASK] . [SEP]
ability,capability,fuel,synonym,[CLS] alec was happy to see his daughter developing her verbal [MASK] . [SEP]
ability,means,fishing,unclassified,[CLS] alec was happy to see his daughter developing her verbal [MASK] . [SEP]
ability,capability,fuel,synonym,[CLS] tisha grateful for her tap dancing [MASK] helping her travel . [SEP]
ability,means,fishing,unclassified,[CLS] tisha grateful for her tap dancing [MASK] helping her travel . [SEP]
ability,capability,fuel,synonym,[CLS] his best trick was his [MASK] to stand on his hands . [SEP]
ability,means,fishing,unclassified,[CLS] his best trick was his [MASK] to stand on his hands . [SEP]
ability,capability,fuel,synonym,[CLS] she answered the question to the best of her [MASK] . [SEP]
ability,means,fishing,unclassified,[CLS] she answered the question to the best of her [MASK] . [SEP]
account,checking,now,forward phrasal associate,[CLS] but his [MASK] was banned before he could withdraw his earnings . [SEP]
account,joint,scalpel,forward phrasal associate,[CLS] but his [MASK] was banned before he could withdraw his earnings . [SEP]
account,checking,now,forward phrasal associate,[CLS] his friends told him someone else was using his [MASK] . [SEP]
account,joint,scalpel,forward phrasal associate,[CLS] his friends told him someone else was using his [MASK] . [SEP]
account,checking,now,forward phrasal associate,[CLS] i put fifty dollars in an otc [MASK] . [SEP]
account,joint,scalpel,forward phrasal associate,[CLS] i put fifty dollars in an otc [MASK] . [SEP]
account,checking,now,forward phrasal associate,"[CLS] however , he looked into his [MASK] and there was no money . [SEP]"
account,joint,scalpel,forward phrasal associate,"[CLS] however , he looked into his [MASK] and there was no money . [SEP]"
account,checking,now,forward phrasal associate,[CLS] ana only had a dollar left in her [MASK] when she was done . [SEP]
account,joint,scalpel,forward phrasal associate,[CLS] ana only had a dollar left in her [MASK] when she was done . [SEP]
account,checking,now,forward phrasal associate,[CLS] i gave the teller a handful of money to deposit in my [MASK] . [SEP]
account,joint,scalpel,forward phrasal associate,[CLS] i gave the teller a handful of money to deposit in my [MASK] . [SEP]
account,checking,now,forward phrasal associate,[CLS] sam checked his bank [MASK] . [SEP]
account,joint,scalpel,forward phrasal associate,[CLS] sam checked his bank [MASK] . [SEP]
account,checking,now,forward phrasal associate,[CLS] clara woke up and checked her bank [MASK] . [SEP]
account,joint,scalpel,forward phrasal associate,[CLS] clara woke up and checked her bank [MASK] . [SEP]
account,checking,now,forward phrasal associate,"[CLS] somehow , thousands of dollars appeared in his bank [MASK] . [SEP]"
account,joint,scalpel,forward phrasal associate,"[CLS] somehow , thousands of dollars appeared in his bank [MASK] . [SEP]"
account,checking,now,forward phrasal associate,[CLS] july started a savings [MASK] when she turned eight . [SEP]
account,joint,scalpel,forward phrasal associate,[CLS] july started a savings [MASK] when she turned eight . [SEP]
ache,stomach,reflection,forward phrasal associate,[CLS] now he has an indian tummy - [MASK] . [SEP]
ache,head,goo,forward phrasal associate,[CLS] now he has an indian tummy - [MASK] . [SEP]
ache,stomach,reflection,forward phrasal associate,[CLS] then they had a stomach [MASK] . [SEP]
ache,head,goo,forward phrasal associate,[CLS] then they had a stomach [MASK] . [SEP]
ache,stomach,reflection,forward phrasal associate,[CLS] sammy had a terrible stomach [MASK] one morning . [SEP]
ache,head,goo,forward phrasal associate,[CLS] sammy had a terrible stomach [MASK] one morning . [SEP]
ache,stomach,reflection,forward phrasal associate,"[CLS] a couple of days after that , i got a severe stomach [MASK] . [SEP]"
ache,head,goo,forward phrasal associate,"[CLS] a couple of days after that , i got a severe stomach [MASK] . [SEP]"
ache,stomach,reflection,forward phrasal associate,[CLS] she could n't go to a doctor for a tummy [MASK] from stealing cake . [SEP]
ache,head,goo,forward phrasal associate,[CLS] she could n't go to a doctor for a tummy [MASK] from stealing cake . [SEP]
ache,stomach,reflection,forward phrasal associate,[CLS] eating so much pie gave me such a belly [MASK] ! [SEP]
ache,head,goo,forward phrasal associate,[CLS] eating so much pie gave me such a belly [MASK] ! [SEP]
ache,stomach,reflection,forward phrasal associate,"[CLS] kori ate every single one and despite her stomach [MASK] , she was happy . [SEP]"
ache,head,goo,forward phrasal associate,"[CLS] kori ate every single one and despite her stomach [MASK] , she was happy . [SEP]"
ache,stomach,reflection,forward phrasal associate,[CLS] unfortunately her stomach began to [MASK] from the food . [SEP]
ache,head,goo,forward phrasal associate,[CLS] unfortunately her stomach began to [MASK] from the food . [SEP]
ache,stomach,reflection,forward phrasal associate,[CLS] kia 's [MASK] was caused by a bone cancer called osteosarcoma ! [SEP]
ache,head,goo,forward phrasal associate,[CLS] kia 's [MASK] was caused by a bone cancer called osteosarcoma ! [SEP]
ache,stomach,reflection,forward phrasal associate,[CLS] she started to notice a numb [MASK] in her tooth . [SEP]
ache,head,goo,forward phrasal associate,[CLS] she started to notice a numb [MASK] in her tooth . [SEP]
act,perform,frisk,synonym,[CLS] i caught her in the [MASK] . [SEP]
act,pretend,ton,synonym,[CLS] i caught her in the [MASK] . [SEP]
act,perform,frisk,synonym,[CLS] but abby had the [MASK] coming up and she was very nervous . [SEP]
act,pretend,ton,synonym,[CLS] but abby had the [MASK] coming up and she was very nervous . [SEP]
act,perform,frisk,synonym,[CLS] her [MASK] was to sing and play the piano . [SEP]
act,pretend,ton,synonym,[CLS] her [MASK] was to sing and play the piano . [SEP]
act,perform,frisk,synonym,[CLS] i was afraid of how she would [MASK] around all the other dogs there . [SEP]
act,pretend,ton,synonym,[CLS] i was afraid of how she would [MASK] around all the other dogs there . [SEP]
act,perform,frisk,synonym,[CLS] rick and his friends took third place for their [MASK] . [SEP]
act,pretend,ton,synonym,[CLS] rick and his friends took third place for their [MASK] . [SEP]
act,perform,frisk,synonym,[CLS] then the opening [MASK] played . [SEP]
act,pretend,ton,synonym,[CLS] then the opening [MASK] played . [SEP]
