target,related,unrelated,relation,context,constraint,entropy
ability,capability,fuel,synonym,[CLS] harry really showed improvement in his [MASK] compared to last year . [SEP],0.12993770837783813,6.626337051391602
ability,means,fishing,unclassified,[CLS] harry really showed improvement in his [MASK] compared to last year . [SEP],0.12993770837783813,6.626337051391602
ability,capability,fuel,synonym,[CLS] all the women cleaned to their best [MASK] that week . [SEP],0.11761242151260376,7.475811958312988
ability,means,fishing,unclassified,[CLS] all the women cleaned to their best [MASK] that week . [SEP],0.11761242151260376,7.475811958312988
ability,capability,fuel,synonym,[CLS] grief for a patient who died made jo doubt her [MASK] as a counselor . [SEP],0.4112381339073181,3.520015001296997
ability,means,fishing,unclassified,[CLS] grief for a patient who died made jo doubt her [MASK] as a counselor . [SEP],0.4112381339073181,3.520015001296997
ability,capability,fuel,synonym,"[CLS] and when got home , he tested its waterproof [MASK] . [SEP]",0.37158235907554626,4.68918514251709
ability,means,fishing,unclassified,"[CLS] and when got home , he tested its waterproof [MASK] . [SEP]",0.37158235907554626,4.68918514251709
ability,capability,fuel,synonym,[CLS] and she became more confident in her drawing [MASK] . [SEP],0.41054847836494446,3.403064012527466
ability,means,fishing,unclassified,[CLS] and she became more confident in her drawing [MASK] . [SEP],0.41054847836494446,3.403064012527466
ability,capability,fuel,synonym,[CLS] mark has lost a significant amount of hearing [MASK] . [SEP],0.44223615527153015,4.83048152923584
ability,means,fishing,unclassified,[CLS] mark has lost a significant amount of hearing [MASK] . [SEP],0.44223615527153015,4.83048152923584
ability,capability,fuel,synonym,[CLS] alec was happy to see his daughter developing her verbal [MASK] . [SEP],0.8953414559364319,0.9866983294487
ability,means,fishing,unclassified,[CLS] alec was happy to see his daughter developing her verbal [MASK] . [SEP],0.8953414559364319,0.9866983294487
ability,capability,fuel,synonym,[CLS] tisha grateful for her tap dancing [MASK] helping her travel . [SEP],0.8424165844917297,1.3225913047790527
ability,means,fishing,unclassified,[CLS] tisha grateful for her tap dancing [MASK] helping her travel . [SEP],0.8424165844917297,1.3225913047790527
ability,capability,fuel,synonym,[CLS] his best trick was his [MASK] to stand on his hands . [SEP],0.919986367225647,0.6272759437561035
ability,means,fishing,unclassified,[CLS] his best trick was his [MASK] to stand on his hands . [SEP],0.919986367225647,0.6272759437561035
ability,capability,fuel,synonym,[CLS] she answered the question to the best of her [MASK] . [SEP],0.8507682085037231,0.6844645738601685
ability,means,fishing,unclassified,[CLS] she answered the question to the best of her [MASK] . [SEP],0.8507682085037231,0.6844645738601685
account,checking,now,forward phrasal associate,[CLS] but his [MASK] was banned before he could withdraw his earnings . [SEP],0.06363905966281891,8.273282051086426
account,joint,scalpel,forward phrasal associate,[CLS] but his [MASK] was banned before he could withdraw his earnings . [SEP],0.06363905966281891,8.273282051086426
account,checking,now,forward phrasal associate,[CLS] his friends told him someone else was using his [MASK] . [SEP],0.18342046439647675,7.004226207733154
account,joint,scalpel,forward phrasal associate,[CLS] his friends told him someone else was using his [MASK] . [SEP],0.18342046439647675,7.004226207733154
account,checking,now,forward phrasal associate,[CLS] i put fifty dollars in an otc [MASK] . [SEP],0.2425619661808014,7.246381759643555
account,joint,scalpel,forward phrasal associate,[CLS] i put fifty dollars in an otc [MASK] . [SEP],0.2425619661808014,7.246381759643555
account,checking,now,forward phrasal associate,"[CLS] however , he looked into his [MASK] and there was no money . [SEP]",0.3523540496826172,2.6145877838134766
account,joint,scalpel,forward phrasal associate,"[CLS] however , he looked into his [MASK] and there was no money . [SEP]",0.3523540496826172,2.6145877838134766
account,checking,now,forward phrasal associate,[CLS] ana only had a dollar left in her [MASK] when she was done . [SEP],0.3770231306552887,2.739694595336914
account,joint,scalpel,forward phrasal associate,[CLS] ana only had a dollar left in her [MASK] when she was done . [SEP],0.3770231306552887,2.739694595336914
account,checking,now,forward phrasal associate,[CLS] i gave the teller a handful of money to deposit in my [MASK] . [SEP],0.5850211977958679,2.9430360794067383
account,joint,scalpel,forward phrasal associate,[CLS] i gave the teller a handful of money to deposit in my [MASK] . [SEP],0.5850211977958679,2.9430360794067383
account,checking,now,forward phrasal associate,[CLS] sam checked his bank [MASK] . [SEP],0.5412322282791138,3.028299331665039
account,joint,scalpel,forward phrasal associate,[CLS] sam checked his bank [MASK] . [SEP],0.5412322282791138,3.028299331665039
account,checking,now,forward phrasal associate,[CLS] clara woke up and checked her bank [MASK] . [SEP],0.6780913472175598,2.2219855785369873
account,joint,scalpel,forward phrasal associate,[CLS] clara woke up and checked her bank [MASK] . [SEP],0.6780913472175598,2.2219855785369873
account,checking,now,forward phrasal associate,"[CLS] somehow , thousands of dollars appeared in his bank [MASK] . [SEP]",0.8820580840110779,0.5826342105865479
account,joint,scalpel,forward phrasal associate,"[CLS] somehow , thousands of dollars appeared in his bank [MASK] . [SEP]",0.8820580840110779,0.5826342105865479
account,checking,now,forward phrasal associate,[CLS] july started a savings [MASK] when she turned eight . [SEP],0.8327029347419739,0.9485395550727844
account,joint,scalpel,forward phrasal associate,[CLS] july started a savings [MASK] when she turned eight . [SEP],0.8327029347419739,0.9485395550727844
ache,stomach,reflection,forward phrasal associate,[CLS] now he has an indian tummy - [MASK] . [SEP],0.07547488808631897,8.816694259643555
ache,head,goo,forward phrasal associate,[CLS] now he has an indian tummy - [MASK] . [SEP],0.07547488808631897,8.816694259643555
ache,stomach,reflection,forward phrasal associate,[CLS] then they had a stomach [MASK] . [SEP],0.16002435982227325,5.484023094177246
ache,head,goo,forward phrasal associate,[CLS] then they had a stomach [MASK] . [SEP],0.16002435982227325,5.484023094177246
ache,stomach,reflection,forward phrasal associate,[CLS] sammy had a terrible stomach [MASK] one morning . [SEP],0.30244705080986023,3.8609213829040527
ache,head,goo,forward phrasal associate,[CLS] sammy had a terrible stomach [MASK] one morning . [SEP],0.30244705080986023,3.8609213829040527
ache,stomach,reflection,forward phrasal associate,"[CLS] a couple of days after that , i got a severe stomach [MASK] . [SEP]",0.44806161522865295,3.074793815612793
ache,head,goo,forward phrasal associate,"[CLS] a couple of days after that , i got a severe stomach [MASK] . [SEP]",0.44806161522865295,3.074793815612793
ache,stomach,reflection,forward phrasal associate,[CLS] she could n't go to a doctor for a tummy [MASK] from stealing cake . [SEP],0.634178102016449,2.9914779663085938
ache,head,goo,forward phrasal associate,[CLS] she could n't go to a doctor for a tummy [MASK] from stealing cake . [SEP],0.634178102016449,2.9914779663085938
ache,stomach,reflection,forward phrasal associate,[CLS] eating so much pie gave me such a belly [MASK] ! [SEP],0.6292776465415955,1.7020467519760132
ache,head,goo,forward phrasal associate,[CLS] eating so much pie gave me such a belly [MASK] ! [SEP],0.6292776465415955,1.7020467519760132
ache,stomach,reflection,forward phrasal associate,"[CLS] kori ate every single one and despite her stomach [MASK] , she was happy . [SEP]",0.7412770986557007,2.131464958190918
ache,head,goo,forward phrasal associate,"[CLS] kori ate every single one and despite her stomach [MASK] , she was happy . [SEP]",0.7412770986557007,2.131464958190918
ache,stomach,reflection,forward phrasal associate,[CLS] unfortunately her stomach began to [MASK] from the food . [SEP],0.7161400318145752,1.5288583040237427
ache,head,goo,forward phrasal associate,[CLS] unfortunately her stomach began to [MASK] from the food . [SEP],0.7161400318145752,1.5288583040237427
ache,stomach,reflection,forward phrasal associate,[CLS] kia 's [MASK] was caused by a bone cancer called osteosarcoma ! [SEP],0.9297691583633423,0.788297176361084
ache,head,goo,forward phrasal associate,[CLS] kia 's [MASK] was caused by a bone cancer called osteosarcoma ! [SEP],0.9297691583633423,0.788297176361084
ache,stomach,reflection,forward phrasal associate,[CLS] she started to notice a numb [MASK] in her tooth . [SEP],0.8967693448066711,1.083248496055603
ache,head,goo,forward phrasal associate,[CLS] she started to notice a numb [MASK] in her tooth . [SEP],0.8967693448066711,1.083248496055603
act,perform,frisk,synonym,[CLS] i caught her in the [MASK] . [SEP],0.11063490808010101,6.568887710571289
act,pretend,ton,synonym,[CLS] i caught her in the [MASK] . [SEP],0.11063490808010101,6.568887710571289
act,perform,frisk,synonym,[CLS] but abby had the [MASK] coming up and she was very nervous . [SEP],0.14195774495601654,6.408376693725586
act,pretend,ton,synonym,[CLS] but abby had the [MASK] coming up and she was very nervous . [SEP],0.14195774495601654,6.408376693725586
act,perform,frisk,synonym,[CLS] her [MASK] was to sing and play the piano . [SEP],0.39101895689964294,3.6991963386535645
act,pretend,ton,synonym,[CLS] her [MASK] was to sing and play the piano . [SEP],0.39101895689964294,3.6991963386535645
act,perform,frisk,synonym,[CLS] i was afraid of how she would [MASK] around all the other dogs there . [SEP],0.46898677945137024,2.5237603187561035
act,pretend,ton,synonym,[CLS] i was afraid of how she would [MASK] around all the other dogs there . [SEP],0.46898677945137024,2.5237603187561035
act,perform,frisk,synonym,[CLS] rick and his friends took third place for their [MASK] . [SEP],0.5289933085441589,5.065462112426758
act,pretend,ton,synonym,[CLS] rick and his friends took third place for their [MASK] . [SEP],0.5289933085441589,5.065462112426758
act,perform,frisk,synonym,[CLS] then the opening [MASK] played . [SEP],0.3068014085292816,4.109961986541748
act,pretend,ton,synonym,[CLS] then the opening [MASK] played . [SEP],0.3068014085292816,4.109961986541748
act,perform,frisk,synonym,[CLS] she felt so stilted that she needed to [MASK] out . [SEP],0.7156717777252197,2.6269476413726807
act,pretend,ton,synonym,[CLS] she felt so stilted that she needed to [MASK] out . [SEP],0.7156717777252197,2.6269476413726807
act,perform,frisk,synonym,"[CLS] mom tried to [MASK] upset , but she was laughing on the inside . [SEP]",0.7555009126663208,1.397106409072876
act,pretend,ton,synonym,"[CLS] mom tried to [MASK] upset , but she was laughing on the inside . [SEP]",0.7555009126663208,1.397106409072876
act,perform,frisk,synonym,[CLS] recently his neighbor tried to [MASK] afraid of charles . [SEP],0.8576271533966064,1.1532799005508423
act,pretend,ton,synonym,[CLS] recently his neighbor tried to [MASK] afraid of charles . [SEP],0.8576271533966064,1.1532799005508423
act,perform,frisk,synonym,[CLS] jeff had a solo musical [MASK] in his hometown . [SEP],0.9519993662834167,0.5940428972244263
act,pretend,ton,synonym,[CLS] jeff had a solo musical [MASK] in his hometown . [SEP],0.9519993662834167,0.5940428972244263
action,reaction,dip,unclassified,"[CLS] there , she gaped at all the lights and [MASK] . [SEP]",0.10801207274198532,7.498457908630371
action,consequence,trade,unclassified,"[CLS] there , she gaped at all the lights and [MASK] . [SEP]",0.10801207274198532,7.498457908630371
action,reaction,dip,unclassified,"[CLS] he stepped on ed 's favorite [MASK] toy , breaking it . [SEP]",0.1649247109889984,6.807877063751221
action,consequence,trade,unclassified,"[CLS] he stepped on ed 's favorite [MASK] toy , breaking it . [SEP]",0.1649247109889984,6.807877063751221
action,reaction,dip,unclassified,[CLS] he interrupted game [MASK] with a jaunt that lasted about a minute . [SEP],0.2646941542625427,4.235012054443359
action,consequence,trade,unclassified,[CLS] he interrupted game [MASK] with a jaunt that lasted about a minute . [SEP],0.2646941542625427,4.235012054443359
action,reaction,dip,unclassified,[CLS] gina was excited to be in on the [MASK] . [SEP],0.3971186876296997,5.266314506530762
action,consequence,trade,unclassified,[CLS] gina was excited to be in on the [MASK] . [SEP],0.3971186876296997,5.266314506530762
