target,prime,unrelated,association,context_word,delta_nt_200ms,delta_nt_1200ms,relation,delta_ldt_200ms,delta_ldt_1200ms
abandon,disown,provision,first,related,-32.36190476,-47.48076923,synonym,-46.25,-31.375
abandon,disown,provision,first,similar,-32.36190476,-47.48076923,synonym,-46.25,-31.375
abandon,disown,provision,first,associated,-32.36190476,-47.48076923,synonym,-46.25,-31.375
ability,capability,fuel,first,related,-94.80721003,-22.47058824,synonym,-20.84375,-40.0224828934506
ability,capability,fuel,first,similar,-94.80721003,-22.47058824,synonym,-20.84375,-40.0224828934506
ability,capability,fuel,first,associated,-94.80721003,-22.47058824,synonym,-20.84375,-40.0224828934506
abnormal,normal,egypt,first,related,17.33333333,40.91176471,antonym,-73.8346774193549,-43.4435483870968
abnormal,normal,egypt,first,similar,17.33333333,40.91176471,antonym,-73.8346774193549,-43.4435483870968
abnormal,normal,egypt,first,associated,17.33333333,40.91176471,antonym,-73.8346774193549,-43.4435483870968
above,below,postage,first,related,34.93529412,-43.41294118,antonym,13.741935483871,14.375
above,below,postage,first,similar,34.93529412,-43.41294118,antonym,13.741935483871,14.375
above,below,postage,first,associated,34.93529412,-43.41294118,antonym,13.741935483871,14.375
abuse,use,disgusting,first,related,-29.375,-112.6057143,fpa,-29.1582661290323,16.5806451612904
abuse,use,disgusting,first,similar,-29.375,-112.6057143,fpa,-29.1582661290323,16.5806451612904
abuse,use,disgusting,first,associated,-29.375,-112.6057143,fpa,-29.1582661290323,16.5806451612904
accept,reject,jock,first,related,27.0987395,30.06410256,antonym,12.1350806451613,-160.969696969697
accept,reject,jock,first,similar,27.0987395,30.06410256,antonym,12.1350806451613,-160.969696969697
accept,reject,jock,first,associated,27.0987395,30.06410256,antonym,12.1350806451613,-160.969696969697
account,checking,now,first,related,34.42857143,-46.85526316,fpa,-14.46875,-80.9818548387096
account,checking,now,first,similar,34.42857143,-46.85526316,fpa,-14.46875,-80.9818548387096
account,checking,now,first,associated,34.42857143,-46.85526316,fpa,-14.46875,-80.9818548387096
accuse,blame,sum,first,related,-59.57671958,33.34230769,synonym,-35.483870967742,-39.34375
accuse,blame,sum,first,similar,-59.57671958,33.34230769,synonym,-35.483870967742,-39.34375
accuse,blame,sum,first,associated,-59.57671958,33.34230769,synonym,-35.483870967742,-39.34375
ache,stomach,reflection,first,related,-65.01984127,63.0055814,fpa,-55.5,103.25
ache,stomach,reflection,first,similar,-65.01984127,63.0055814,fpa,-55.5,103.25
ache,stomach,reflection,first,associated,-65.01984127,63.0055814,fpa,-55.5,103.25
achieve,goal,girl,first,related,59.44444444,-20.00357143,script,-88.6656891495601,-39.0625
achieve,goal,girl,first,similar,59.44444444,-20.00357143,script,-88.6656891495601,-39.0625
achieve,goal,girl,first,associated,59.44444444,-20.00357143,script,-88.6656891495601,-39.0625
act,perform,frisk,first,related,5.079365079,-5.768421053,synonym,-0.71875,107.3125
act,perform,frisk,first,similar,5.079365079,-5.768421053,synonym,-0.71875,107.3125
act,perform,frisk,first,associated,5.079365079,-5.768421053,synonym,-0.71875,107.3125
action,reaction,dip,first,related,7.400560224,-30.52205128,unclassified,45.40625,-193.516129032258
action,reaction,dip,first,similar,7.400560224,-30.52205128,unclassified,45.40625,-193.516129032258
action,reaction,dip,first,associated,7.400560224,-30.52205128,unclassified,45.40625,-193.516129032258
active,hyper,disperse,first,related,41.41764706,-25.79292929,synonym,15.78125,-0.118951612903174
active,hyper,disperse,first,similar,41.41764706,-25.79292929,synonym,15.78125,-0.118951612903174
active,hyper,disperse,first,associated,41.41764706,-25.79292929,synonym,15.78125,-0.118951612903174
actor,actress,coast,first,related,39.99702381,48.56111111,category,55.595643939394,20.4721407624633
actor,actress,coast,first,similar,39.99702381,48.56111111,category,55.595643939394,20.4721407624633
actor,actress,coast,first,associated,39.99702381,48.56111111,category,55.595643939394,20.4721407624633
actress,actor,four,first,related,-21.84615385,63.72934473,category,-50.5700757575758,-17.7096774193549
actress,actor,four,first,similar,-21.84615385,63.72934473,category,-50.5700757575758,-17.7096774193549
actress,actor,four,first,associated,-21.84615385,63.72934473,category,-50.5700757575758,-17.7096774193549
add,sum,paradise,first,related,17.54030501,133.3214286,synonym,-5.1875,-5.75367647058829
add,sum,paradise,first,similar,17.54030501,133.3214286,synonym,-5.1875,-5.75367647058829
add,sum,paradise,first,associated,17.54030501,133.3214286,synonym,-5.1875,-5.75367647058829
addition,subtraction,instructions,first,related,-12.59459459,-42.02564103,antonym,56.5,-130.741935483871
addition,subtraction,instructions,first,similar,-12.59459459,-42.02564103,antonym,56.5,-130.741935483871
addition,subtraction,instructions,first,associated,-12.59459459,-42.02564103,antonym,56.5,-130.741935483871
adjective,adverb,ego,first,related,-129.8660287,-26.42401022,category,-162.719758064516,-3.07661290322585
adjective,adverb,ego,first,similar,-129.8660287,-26.42401022,category,-162.719758064516,-3.07661290322585
adjective,adverb,ego,first,associated,-129.8660287,-26.42401022,category,-162.719758064516,-3.07661290322585
adolescent,puberty,adventurous,first,related,-4.464285714,-5.175480769,script,-146.09375,15.8559139784946
adolescent,puberty,adventurous,first,similar,-4.464285714,-5.175480769,script,-146.09375,15.8559139784946
adolescent,puberty,adventurous,first,associated,-4.464285714,-5.175480769,script,-146.09375,15.8559139784946
adventure,explorer,wary,first,related,117.3241758,53.28174603,unclassified,-130.625,-13.4154411764706
adventure,explorer,wary,first,similar,117.3241758,53.28174603,unclassified,-130.625,-13.4154411764706
adventure,explorer,wary,first,associated,117.3241758,53.28174603,unclassified,-130.625,-13.4154411764706
advice,suggest,no,first,related,49.05664488,-23.19166667,synonym,-76.5274621212121,-74.0201612903226
advice,suggest,no,first,similar,49.05664488,-23.19166667,synonym,-76.5274621212121,-74.0201612903226
advice,suggest,no,first,associated,49.05664488,-23.19166667,synonym,-76.5274621212121,-74.0201612903226
africa,continent,threat,first,related,7.41307815,16.56960409,supraordinate,-29.0756048387096,-151.59375
africa,continent,threat,first,similar,7.41307815,16.56960409,supraordinate,-29.0756048387096,-151.59375
